Year,Month,Day,Hour,Toronto,Ottawa,Bruce,Difference,Holiday & Weekends,Price_Tor,Price_Ott,Price_Bruce,"
",
2016,3,19,2,4631,694,74,142,0,-3,-3,-2.91,,
2016,3,19,3,4556,681,73,91,0,-0.32,-0.32,-0.31,,
2016,3,19,4,4528,685,79,47,0,0.23,0.23,0.22,,
2016,3,19,5,4606,694,82,19,0,5.88,5.88,5.7,,
2016,3,19,6,4815,748,91,25,0,6.04,6.04,5.86,,
2016,3,19,7,5024,811,90,-34,0,0.97,0.97,0.94,,
2016,3,19,8,5230,827,93,-53,0,2.93,2.93,2.85,,
2016,3,19,9,5418,805,93,18,0,-1.5,-1.5,-1.46,,
2016,3,19,10,5541,810,92,100,0,-3,-3,-2.91,,
2016,3,19,11,5611,814,92,174,0,-1.59,-1.59,-1.54,,
2016,3,19,12,5590,812,89,83,0,4.93,4.93,4.78,,
2016,3,19,13,5508,789,91,4,0,5.97,5.97,5.8,,
2016,3,19,14,5400,772,89,26,0,-1.02,-1.02,-0.99,,
2016,3,19,15,5309,770,83,55,0,-3.83,-3.83,-3.72,,
2016,3,19,16,5313,792,80,12,0,-1.75,-1.75,-1.7,,
2016,3,19,17,5376,847,87,9,0,0.72,0.72,0.7,,
2016,3,19,18,5437,894,87,68,0,2.43,2.43,2.36,,
2016,3,19,19,5608,935,88,50,0,5.66,5.66,5.5,,
2016,3,19,20,5737,948,92,-43,0,9.19,9.19,8.92,,
2016,3,19,21,5594,911,93,61,0,12.71,12.71,12.34,,
2016,3,19,22,5372,858,89,-20,0,9.08,9.08,8.82,,
2016,3,19,23,5087,801,83,87,0,6.65,6.65,6.46,,
2016,3,19,24,4806,734,80,220,0,0,0,0,,
2016,3,20,1,4602,713,82,107,0,2.5,2.5,2.42,,
2016,3,20,2,4481,698,80,151,0,0,0,0,,
2016,3,20,3,4420,683,82,62,0,0,0,0,,
2016,3,20,4,4402,697,83,90,0,0,0,0,,
2016,3,20,5,4442,708,84,69,0,0,0,0,,
2016,3,20,6,4574,745,88,-68,0,5.08,5.08,4.93,,
2016,3,20,7,4686,781,92,-60,0,0,0,0,,
2016,3,20,8,4854,802,94,-70,0,0,0,0,,
2016,3,20,9,5036,779,96,-113,0,-3,-3,-2.91,,
2016,3,20,10,5179,771,92,-99,0,-3.51,-3.51,-3.41,,
2016,3,20,11,5303,773,90,-34,0,-0.25,-0.25,-0.24,,
2016,3,20,12,5332,783,87,23,0,4.43,4.43,4.3,,
2016,3,20,13,5297,777,87,-70,0,4.01,4.01,3.9,,
2016,3,20,14,5222,779,85,-35,0,-1.36,-1.36,-1.32,,
2016,3,20,15,5191,786,83,4,0,-3.51,-3.51,-3.41,,
2016,3,20,16,5250,811,85,-5,0,-3.81,-3.81,-3.7,,
2016,3,20,17,5371,868,84,7,0,2.21,2.21,2.14,,
2016,3,20,18,5481,898,88,54,0,2.2,2.2,2.14,,
2016,3,20,19,5696,955,87,-44,0,10.91,10.91,10.59,,
2016,3,20,20,5905,977,91,-32,0,14.67,14.67,14.24,,
2016,3,20,21,5757,934,90,-37,0,14.38,14.38,13.96,,
2016,3,20,22,5457,866,85,-16,0,9.54,9.54,9.26,,
2016,3,20,23,5097,780,80,21,0,7.09,7.09,6.89,,
2016,3,20,24,4798,731,80,30,0,1.15,1.15,1.11,,
2016,3,21,1,4616,707,76,55,0,1.99,1.99,1.93,,
2016,3,21,2,4532,709,80,47,0,0,0,0,,
2016,3,21,3,4508,687,68,46,0,-0.25,-0.25,-0.24,,
2016,3,21,4,4570,707,72,79,0,-3.06,-3.06,-2.97,,
2016,3,21,5,4827,765,76,83,0,-1.25,-1.25,-1.21,,
2016,3,21,6,5384,910,75,-135,0,2.54,2.54,2.46,,
2016,3,21,7,6025,935,90,-66,0,2.45,2.45,2.38,,
2016,3,21,8,6164,891,94,-28,0,0.49,0.49,0.48,,
2016,3,21,9,6246,864,89,222,0,-3,-3,-2.91,,
2016,3,21,10,6292,874,89,129,0,-1.25,-1.25,-1.21,,
2016,3,21,11,6316,915,72,90,0,0,0,0,,
2016,3,21,12,6302,866,71,89,0,0,0,0,,
2016,3,21,13,6302,840,68,128,0,0,0.13,0,,
2016,3,21,14,6249,839,70,108,0,0,0,0,,
2016,3,21,15,6223,846,70,57,0,0,0,0,,
2016,3,21,16,6254,810,69,-34,0,0.97,0.97,0.94,,
2016,3,21,17,6302,857,72,-11,0,1.98,2.06,1.92,,
2016,3,21,18,6320,870,74,-118,0,5.48,5.48,5.32,,
2016,3,21,19,6447,928,74,-120,0,11.36,11.36,11.02,,
2016,3,21,20,6588,935,75,-145,0,24.85,24.85,24.13,,
2016,3,21,21,6386,889,73,-53,0,11.02,11.02,10.7,,
2016,3,21,22,5978,791,70,129,0,5.67,5.67,5.51,,
2016,3,21,23,5469,794,68,60,0,4.94,4.94,4.8,,
2016,3,21,24,5103,719,67,2,0,-2.23,-2.23,-2.17,,
2016,3,22,1,4891,719,64,61,0,-0.77,-0.77,-0.75,,
2016,3,22,2,4778,695,63,7,0,-0.5,-0.5,-0.49,,
2016,3,22,3,4729,700,65,-42,0,-0.5,-0.5,-0.49,,
2016,3,22,4,4782,718,65,-57,0,0.96,0.96,0.94,,
2016,3,22,5,5028,788,68,-56,0,6.41,6.41,6.22,,
2016,3,22,6,5573,921,74,-196,0,9.26,9.26,8.98,,
2016,3,22,7,6148,972,79,-56,0,3.95,3.95,3.84,,
2016,3,22,8,6320,929,88,78,0,4.45,4.45,4.32,,
2016,3,22,9,6414,892,87,66,0,0.96,0.96,0.94,,
2016,3,22,10,6475,872,86,-1,0,-0.75,-0.75,-0.73,,
2016,3,22,11,6500,895,80,1,0,0.48,0.48,0.47,,
2016,3,22,12,6415,848,90,44,0,-0.75,-0.75,-0.73,,
2016,3,22,13,6404,873,90,163,0,0,0,0,,
2016,3,22,14,6364,880,92,81,0,0,0,0,,
2016,3,22,15,6325,911,90,-5,0,2.96,2.96,2.88,,
2016,3,22,16,6356,959,91,-90,0,9.49,9.49,9.21,,
2016,3,22,17,6457,1044,93,-149,0,1.46,1.46,1.41,,
2016,3,22,18,6531,1031,91,-209,0,4.67,4.72,4.53,,
2016,3,22,19,6631,1112,93,-167,0,8.15,8.15,7.91,,
2016,3,22,20,6588,1110,91,-120,0,2.97,2.97,2.89,,
2016,3,22,21,6311,1037,131,-27,0,7.04,7.04,6.84,,
2016,3,22,22,5860,951,133,71,0,3,3,2.92,,
2016,3,22,23,5353,794,128,21,0,6.47,6.47,6.27,,
2016,3,22,24,4977,627,127,82,0,1.58,1.58,1.53,,
2016,3,23,1,4749,589,125,11,0,-0.02,-0.02,-0.02,,
2016,3,23,2,4630,596,128,38,0,-3,-3,-2.91,,
2016,3,23,3,4576,602,128,-12,0,-2.06,-2.06,-2,,
2016,3,23,4,4594,595,128,-30,0,-0.3,-0.3,-0.29,,
2016,3,23,5,4810,659,127,54,0,-33.17,-33.17,-32.21,,
2016,3,23,6,5370,776,131,-191,0,6.61,6.61,6.41,,
2016,3,23,7,6032,916,135,21,0,8.94,8.94,8.68,,
2016,3,23,8,6282,936,135,31,0,13.78,13.78,13.38,,
2016,3,23,9,6405,920,131,2,0,9.92,9.92,9.63,,
2016,3,23,10,6487,880,126,170,0,7.45,7.45,7.23,,
2016,3,23,11,6539,839,125,76,0,13.81,13.81,13.4,,
2016,3,23,12,6456,790,133,22,0,8.51,8.51,8.26,,
2016,3,23,13,6463,777,123,66,0,6.52,6.52,6.33,,
2016,3,23,14,6415,762,142,110,0,7.95,7.95,7.72,,
2016,3,23,15,6404,769,156,125,0,8.17,8.17,7.93,,
2016,3,23,16,6450,823,159,216,0,3.84,3.84,3.73,,
2016,3,23,17,6517,886,158,55,0,17.06,17.06,16.56,,
2016,3,23,18,6549,910,159,-124,0,24.25,24.25,23.55,,
2016,3,23,19,6662,976,159,-127,0,9.53,9.53,9.26,,
2016,3,23,20,6681,978,160,-19,0,9.55,9.55,9.27,,
2016,3,23,21,6447,929,150,91,0,4.24,4.24,4.12,,
2016,3,23,22,6034,848,146,149,0,0,0,0,,
2016,3,23,23,5558,719,148,208,0,0,0,0,,
2016,3,23,24,5175,645,143,161,0,0,0,0,,
2016,3,24,1,4978,614,142,85,0,0,0,0,,
2016,3,24,2,4854,596,140,37,0,0,0,0,,
2016,3,24,3,4799,610,134,-37,0,0,0,0,,
2016,3,24,4,4773,625,133,-24,0,0,0,0,,
2016,3,24,5,4973,690,143,-105,0,1.35,1.35,1.32,,
2016,3,24,6,5500,821,145,-171,0,6.36,6.36,6.17,,
2016,3,24,7,6153,956,154,-126,0,7.39,7.39,7.18,,
2016,3,24,8,6407,971,157,23,0,8.92,8.92,8.66,,
2016,3,24,9,6558,977,158,91,0,10.03,10.03,9.74,,
2016,3,24,10,6712,999,155,72,0,10.34,10.34,10.04,,
2016,3,24,11,6801,996,151,-21,0,14.29,14.29,13.87,,
2016,3,24,12,6795,993,165,-177,0,32.22,32.22,31.29,,
2016,3,24,13,6755,994,163,-273,0,149.05,149.05,144.71,,
2016,3,24,14,6753,988,168,-308,0,994.19,994.19,965.23,,
2016,3,24,15,6703,970,168,-143,0,22.57,22.57,21.92,,
2016,3,24,16,6636,973,171,-108,0,11.6,11.6,11.26,,
2016,3,24,17,6577,975,169,-150,0,6.13,6.13,5.95,,
2016,3,24,18,6567,974,168,-96,0,7.92,7.92,7.69,,
2016,3,24,19,6664,1007,170,53,0,5,5,4.85,,
2016,3,24,20,6614,1011,167,-69,0,0,0,0,,
2016,3,24,21,6380,927,159,30,0,0.43,0.43,0.42,,
2016,3,24,22,5998,833,141,118,0,4.01,4.01,3.89,,
2016,3,24,23,5510,722,148,189,0,-0.02,-0.02,-0.02,,
2016,3,24,24,5117,656,137,116,0,-1.77,-1.77,-1.72,,
2016,3,25,1,4860,632,131,36,1,-0.75,-0.75,-0.73,,
2016,3,25,2,4679,589,132,191,1,-1.25,-1.25,-1.21,,
2016,3,25,3,4515,589,135,42,1,-0.25,-0.25,-0.24,,
2016,3,25,4,4465,570,142,72,1,0,0,0,,
2016,3,25,5,4512,600,144,4,1,0,0,0,,
2016,3,25,6,4646,679,144,13,1,0,0,0,,
2016,3,25,7,4747,723,143,175,1,0,0,0,,
2016,3,25,8,4969,772,142,165,1,-0.25,-0.25,-0.24,,
2016,3,25,9,5259,813,142,20,1,7.6,7.6,7.38,,
2016,3,25,10,5444,849,143,-107,1,13.01,13.01,12.63,,
2016,3,25,11,5569,879,145,-89,1,13.07,13.07,12.69,,
2016,3,25,12,5599,855,154,88,1,5.3,5.3,5.14,,
2016,3,25,13,5538,792,154,153,1,0,0,0,,
2016,3,25,14,5425,780,153,166,1,0,0,0,,
2016,3,25,15,5358,767,154,56,1,0,0,0,,
2016,3,25,16,5382,837,158,-61,1,0.29,0.29,0.28,,
2016,3,25,17,5443,871,155,22,1,1.6,1.6,1.56,,
2016,3,25,18,5430,870,111,-17,1,1.2,1.2,1.16,,
2016,3,25,19,5529,866,111,88,1,7.46,7.46,7.24,,
2016,3,25,20,5689,901,112,-32,1,8.7,8.7,8.44,,
2016,3,25,21,5560,860,113,83,1,1.31,1.31,1.27,,
2016,3,25,22,5321,807,111,61,1,1.16,1.16,1.12,,
2016,3,25,23,5009,709,107,50,1,3.31,3.31,3.21,,
