Year,Month,Day,Hour,Temperature,Dew Point,Relative Humidity,Wind Speed,Toronto,Scored Labels
2013,3,14,23,-1.12182076907802,-1.23182487972224,-0.474100574966962,-1.03446387794322,-0.442663822905136,-0.261668622493744
2013,7,24,8,0.496004334023283,0.297168200818531,-0.720414308219033,1.12838344647051,0.311918934311218,-0.161275923252106
2015,6,7,22,0.778902712707664,1.08031099816868,0.819046524606408,-0.277467314398415,-0.950670324810634,-0.597540438175201
2015,6,19,21,0.663975246367134,0.362430100597711,-0.966728041471104,-1.25074861038459,-0.0237812687023565,-0.407517075538635
2016,5,15,8,-0.494139991372049,-0.308835154273848,0.51115435804132,1.23652581269119,-0.941757930040362,-0.123221457004547
2015,11,12,19,0.0362944686611645,0.250552558119117,0.572732791354338,3.07494603844286,0.676336853806781,0.244980812072754
2013,4,5,7,-0.626748606380353,-0.644467781709627,-0.166208408401874,0.263244516705016,0.37232516553195,-0.198144376277924
2017,2,5,23,-1.01573387707138,-1.1479167228633,-0.53567900827998,0.695813981587761,-0.426819565535764,-0.345770537853241
2017,3,26,13,-0.52066171437371,-0.11304945493631,1.43483085773658,1.12838344647051,-0.211931824963652,0.461565554141998
2019,1,15,6,-1.00689330273749,-0.849576609587048,0.51115435804132,-0.0611825819570429,-0.155486658085263,-0.173731863498688
2014,1,16,1,-1.19254536374911,-0.998746666225172,0.634311224667355,-0.71003677928116,-0.494157659355596,-0.646105587482452
2019,9,12,17,0.858467881712645,0.8006171419722,-0.289365275027909,-0.169324948177729,0.39807208375718,0.161358416080475
2015,7,30,22,1.2297720037359,0.968433455690089,-0.843571174845068,-0.277467314398415,0.874390070923934,0.264611899852753
2014,9,21,17,0.999917071054836,0.744678370732903,-0.843571174845068,0.371386882925702,-0.0752751051528163,0.489088118076324
2014,2,24,11,-1.3339945530913,-1.54881125007825,-0.781992741532051,2.10166474245668,1.19325575048255,0.860549509525299
2014,1,22,1,-2.64239955450656,-2.66758667486419,-0.104629975088857,-0.0611825819570429,0.165359553644525,0.113398730754852
2015,12,9,12,0.0628161916628252,0.129351887100642,0.0801053248501964,-0.601894413060474,0.349549045563478,0.252187669277191
2015,9,20,18,0.575569503028265,0.5302464143156,-0.289365275027909,-0.71003677928116,-0.156476924170849,0.0700199604034424
2015,11,6,6,0.655134672033247,1.0709878696288,1.25009555779753,-0.0611825819570429,-0.772422429405196,-0.554443717002869
2018,6,20,6,0.672815820701021,0.586185185554897,-0.412522141653945,-0.493752046839788,-0.0544795173555152,-0.709663510322571
2018,7,20,16,1.78672818677077,1.20151166918716,-1.52093394128826,0.912098714029133,2.27363604985662,1.96961450576782
2017,2,8,21,-1.29863225575576,-1.38099493636036,-0.350943708340927,0.695813981587761,0.795168784077073,0.604929983615875
