Instance,Toronto,Wind Speed,Scored Labels,,Plot_Tor,Plot_Scor
6373,4916,-0.493752047,4404.763184,,,
9883,8145,-0.385609681,7939.945313,,,
15769,6427,0.479529249,6048.179199,,,
14176,5992,-0.926321512,6791.072754,,,
7737,5597,1.02024108,5990.311035,,,
1163,6188,0.046959784,5810.163086,,,
3366,6072,1.993522376,6537.187988,,,
12436,4013,0.587671615,4419.197266,,,
1347,7320,-1.575175709,7030.373047,,,
5131,6459,2.534234207,6770.882813,,,
12508,5255,-0.710036779,5122.893066,,,
1608,6143,0.371386883,6082.064941,,,
10890,4918,-0.710036779,4781.848633,,,
1906,4849,-0.169324948,4887.220703,,,
18628,6138,0.371386883,6054.890625,,,
4213,5895,-0.277467314,6373.217285,,,
8879,4951,-0.277467314,5592.286133,,,
2529,5633,-0.277467314,5783.932617,,,
4750,6150,1.452810545,6012.431641,,,
8184,5136,1.128383446,4949.771484,,,
14806,4495,-1.25074861,4652.730957,,,
15544,5029,0.15510215,4817.949219,,,
2703,4520,0.479529249,4551.971191,,,
1186,6085,-0.385609681,6119.208496,,,
2567,5039,-0.818179146,4966.80957,,,
6421,6573,0.15510215,6319.956055,,,
4978,4627,-0.926321512,4388.530762,,,
11435,6654,1.344668179,6620.549316,,,
16755,4276,1.236525813,4499.405273,,,
2228,8007,1.560952911,8051.07959,,,
6955,5602,-0.818179146,5372.57373,,,
3639,5098,1.777237644,5547.342773,,,
6139,4727,-0.493752047,4723.150879,,,
13341,5872,0.15510215,5532.352051,,,
14328,6312,-0.385609681,6255.587402,,,
4992,4846,1.02024108,5282.28418,,,
17076,4994,0.912098714,4682.078125,,,
11492,4147,-0.169324948,4258.342285,,,
15453,4451,-0.818179146,4475.34375,,,
18275,4707,0.263244517,5258.200684,,,
4949,5951,-0.493752047,5811.933594,,,
7210,6374,-0.169324948,6109.068359,,,
11600,6194,-0.277467314,6030.597656,,,
9834,5691,-1.034463878,5904.32666,,,
18244,4806,-0.061182582,4827.461426,,,
1073,6098,-1.683318075,6559.560547,,,
13024,7649,0.912098714,6766.899902,,,
3870,5554,0.15510215,5174.486328,,,
3744,4168,-1.034463878,4243.471191,,,
13441,7750,-0.385609681,6879.841309,,,
13138,5217,0.371386883,5379.607422,,,
14169,5272,1.993522376,5157.937988,,,
,6373,-0.926321512,6072.76416,,,
,4124,-0.385609681,4210.341797,,,
,6591,3.399373137,6175.591797,,,
,6153,-0.277467314,5836.803223,,,
,5142,1.669095278,5223.820801,,,
,6129,-0.926321512,6041.938965,,,
,4678,-1.575175709,4552.762695,,,
,4310,2.101664742,4427.933594,,,
,6139,0.15510215,5826.770508,,,
,6534,2.642376574,6438.708984,,,
,7439,-0.818179146,6990.020996,,,
,3943,-0.277467314,4033.303711,,,
,4845,-0.601894413,5014.735352,,,
,4320,-0.061182582,4243.37207,,,
,6413,0.263244517,6011.058105,,,
,7435,1.236525813,7154.626953,,,
,6969,-0.710036779,6914.118164,,,
,5900,1.777237644,6563.325195,,,
,5276,-1.142606244,5332.022949,,,
,6547,-0.710036779,6297.742676,,,
,5942,0.587671615,5553.317871,,,
,5242,0.263244517,5294.898438,,,
,4685,-0.601894413,4793.479004,,,
,4366,-1.142606244,4668.786621,,,
,7203,2.101664742,7090.132324,,,
,5869,0.803956348,6327.801758,,,
,6444,1.02024108,6235.573242,,,
,7579,0.046959784,7301.875977,,,
,6397,1.669095278,5902.058105,,,
,6453,-1.358890977,6249.744629,,,
,6439,-0.277467314,6497.086426,,,
,5772,1.560952911,5301.765625,,,
,5818,2.642376574,5736.325684,,,
,5978,-0.061182582,6717.858398,,,
,4747,0.15510215,4781.638672,,,
,4851,1.560952911,4545.728516,,,
,5962,0.046959784,5837.025879,,,
,5196,2.209807109,5610.92041,,,
,6150,-1.034463878,5832.831543,,,
,6120,-0.169324948,5411.716309,,,
,4220,-0.818179146,4415.019531,,,
,5687,0.695813982,5113.786133,,,
,5835,-0.385609681,6027.713867,,,
,5327,-0.385609681,5117.128418,,,
,4966,-1.25074861,5081.902832,,,
,6637,-0.818179146,6292.78418,,,
,3960,-0.169324948,4451.322754,,,
,4979,0.479529249,4993.330078,,,
,6794,2.642376574,6058.459473,,,
,6436,-1.142606244,6244.020508,,,
,4391,-0.818179146,4715.552246,,,
,6140,-1.467033343,6158.798828,,,
,6343,1.02024108,6310.572266,,,
,6126,-0.493752047,5751.45166,,,
,6463,1.02024108,6339.871582,,,
,4772,-1.358890977,4965.499512,,,
,5280,1.128383446,5820.015137,,,
,7223,0.15510215,7088.549805,,,
,8073,-0.385609681,7767.751953,,,
,5776,-0.169324948,5544.950195,,,
,5409,0.046959784,5756.480957,,,
,4758,-1.142606244,4663.658691,,,
,7409,-0.493752047,7000.652344,,,
,6429,-0.385609681,6760.818359,,,
,4223,-1.358890977,4375.98291,,,
,6965,0.479529249,6775.580078,,,
,4769,-1.25074861,4446.490723,,,
,4778,0.15510215,4516.149902,,,
,4465,-0.493752047,4372.78418,,,
,4726,-0.169324948,5283.268066,,,
,5992,-0.061182582,5546.821777,,,
,4309,-1.358890977,4385.906738,,,
,3997,-1.142606244,4672.37207,,,
