Year,Month,Day,Hour,Temperature,Dew Point,Relative Humidity,Wind Speed,Toronto,Holiday & Weekends,Scored Labels,Diff,Abs Diff
-1.01156852,1.312472019,-0.07907078,0.072226845,-0.556024012,-0.868222867,-1.028306475,-0.169324948,5901,0,6314.824219,-413.8242188,413.8242188
-0.039245199,0.739190679,-0.420285147,-1.51666214,0.557888354,0.5582158,-0.166208408,-1.142606244,4265,0,4226.516113,38.48388672,38.48388672
0.446916461,1.599112689,1.172048564,-1.51666214,-1.83790729,-1.893767006,-0.227786842,1.236525813,4641,1,4775.357422,-134.3574219,134.3574219
-1.01156852,1.312472019,-0.192808903,-0.072217608,-0.644429755,-0.933484766,-0.966728041,0.371386883,6489,0,6382.472168,106.527832,106.527832
0.933078121,0.165909339,0.944572319,-0.649995421,1.318177747,1.70496061,1.065360258,-0.277467314,6937,0,6949.250488,-12.25048828,12.25048828
-1.01156852,0.739190679,-0.534023269,-1.372217687,1.220931429,1.723606867,1.496409291,-0.385609681,4800,0,5506.199707,-706.199707,706.199707
-1.01156852,0.165909339,-1.443928246,-0.072217608,1.150206835,0.94046407,-0.720414308,-1.034463878,7259,0,6441.095703,817.9042969,817.9042969
-1.49773018,-1.553934681,0.717096075,1.516671378,-2.147327392,-2.033613934,0.387997491,-0.601894413,6844,0,6781.681152,62.31884766,62.31884766
0.933078121,-1.553934681,-0.534023269,0.361115752,0.319192847,0.418368872,0.141683758,-0.061182582,6166,0,5872.844727,293.1552734,293.1552734
0.933078121,-1.267294011,-1.10271388,-0.361106514,-1.528487188,-1.446256836,0.264840625,0.479529249,6505,0,6500.418457,4.581542969,4.581542969
1.419239782,-1.267294011,-0.647761391,-0.505550967,-1.563849486,-1.502195607,0.141683758,-0.710036779,5518,0,6331.004883,-813.0048828,813.0048828
-0.039245199,1.025831349,1.51326293,0.794449111,0.734699841,0.931140942,0.449575925,1.993522376,5525,0,5974.336426,-449.3364258,449.3364258
0.933078121,0.165909339,0.375881708,0.216671299,1.556873254,0.735355242,-1.951982974,-0.385609681,7284,0,7420.631348,-136.6313477,136.6313477
