Instance,Toronto,,Scored Labels,,Instance,MAE,MAPE
,6642,,6453.829102,,163,0.028330457,
,5073,,4943.833008,,164,0.025461658,
,6015,,5860.836426,,165,0.025629854,
,6057,,6513.696289,,166,0.075399751,
,6673,,6638.018555,,167,0.005242237,
,4442,,4406.662109,,168,0.007955401,
,5143,,5782.181641,,169,0.124281867,
,4917,,5529.51709,,170,0.124571302,
,6137,,5842.963867,,171,0.047912031,
,6018,,5787.01123,,172,0.038382979,
,5820,,5725.412598,,173,0.016252131,
,4686,,4588.637207,,174,0.020777378,
,6453,,5997.91748,,175,0.070522628,
,5897,,5719.961914,,176,0.030021721,
,5272,,5127.696289,,177,0.027371721,
,6642,,6342.648926,,178,0.045069418,
,5336,,5170.127441,,179,0.031085562,
,5535,,6138.527832,,180,0.109038452,
,6581,,6344.712891,,181,0.035904438,
,4134,,4289.942383,,182,0.037721912,
,6937,,6780.32666,,183,0.022585172,
,7212,,6309.371582,,184,0.125156464,
,6307,,7055.744141,,185,0.118716369,
,5112,,5556.45166,,186,0.086942813,
,6986,,7773.489746,,187,0.112723983,
,5900,,5688.316406,,188,0.035878575,
,7979,,7174.381836,,189,0.100841981,
,6194,,5801.911133,,190,0.063301399,
,5368,,5717.395508,,191,0.065088582,
,4641,,4300.655273,,192,0.073334352,
,6182,,6660.226074,,193,0.077357825,
,4069,,4132.263672,,194,0.01554772,
,6593,,6568.802246,,195,0.003670219,
,4181,,4404.577637,,196,0.05347468,
,6854,,6224.335449,,197,0.091868187,
,6876,,6503.902832,,198,0.054115353,
,6035,,6883.149902,,199,0.140538509,
,4854,,4476.15918,,200,0.077841125,
,5073,,5200.795898,,201,0.025191385,
,6138,,5828.714355,,202,0.050388668,
,4781,,4702.737305,,203,0.016369524,
,4004,,4292.928711,,204,0.072160018,
,5608,,5470.11377,,205,0.024587416,
,7281,,7280.235352,,206,0.00010502,
,6619,,6414.5625,,207,0.030886463,
,5442,,5816.918457,,208,0.068893506,
,4219,,4206.220703,,209,0.003028987,
,5191,,5297.508789,,210,0.020517971,
,5258,,4814.415039,,211,0.084363819,
,4898,,5022.067383,,212,0.025330213,
,4134,,4115.970215,,213,0.004361341,
,6241,,5791.652344,,214,0.071999304,
,6105,,5823.635742,,215,0.046087512,
,6772,,6579.812012,,216,0.028379797,
,5258,,5843.442871,,217,0.111343262,
,6131,,5675.650879,,218,0.074269959,
,7159,,6933.906738,,219,0.031441998,
,6130,,6165.219238,,220,0.00574539,
,6701,,6610.259277,,221,0.01354137,
,5239,,6139.683594,,222,0.171918991,
,4682,,4849.111328,,223,0.035692296,
,4500,,4386.909668,,224,0.025131185,
,6552,,6371.82959,,225,0.027498536,
