\\Hourly Nodal Prices Report,,,,,,,,,,,,,,,,
\\Created at 2020-02-28 08:01:10,,,,,,,,,,,,,,,,
\\For 2020,,,,,,,,,,,,,,,,
Zones,,Reference,North West,North West,North West,North East,North East,North East,Ottawa,East,Toronto,Essa,Bruce,South West,Niagara,West
Date,Hour,Richview,Atikokan,Pineportage,Thunderbay,Andrews,Canyon,NPIroqfalls,TAOHSC,Saunders,Darlington,Desjoachims,BruceB,GerdauCam,BECK2,Greenfield
2020-01-17,13,19.65,16.72,6.65,16.94,18.20,19.08,18.72,19.65,19.46,19.65,19.46,19.08,19.65,19.27,19.65
2020-01-17,14,14.33,12.15,6.65,12.35,13.27,13.91,13.65,14.33,14.19,14.33,14.19,13.91,14.33,14.05,14.33
2020-01-17,15,13.62,11.54,6.65,11.74,12.61,13.22,12.97,13.62,13.49,13.62,13.49,13.22,13.62,13.35,13.62
2020-01-17,16,11.80,9.98,6.49,10.17,10.92,11.45,11.23,11.80,11.68,11.80,11.68,11.45,11.80,11.56,11.80
2020-01-17,17,8.07,6.78,6.62,6.96,7.48,7.83,7.69,8.07,7.99,8.07,7.99,7.83,8.07,7.91,8.07
2020-01-17,18,19.12,16.26,6.65,16.48,17.71,18.57,18.15,19.08,18.94,19.12,18.94,18.57,19.12,18.75,19.12
2020-01-17,19,15.27,12.96,6.65,13.16,14.14,14.82,14.54,15.27,15.12,15.27,15.12,14.82,15.27,14.97,15.27
2020-01-17,20,24.27,20.67,6.65,20.92,22.48,23.57,23.12,24.27,24.03,24.27,24.03,23.57,24.27,23.80,24.27
2020-01-17,21,24.14,20.52,8.77,20.81,22.36,23.44,22.99,24.14,23.91,24.14,23.91,23.44,24.14,23.67,24.14
2020-01-17,22,21.29,18.12,6.65,18.36,19.72,20.67,20.28,21.29,21.08,21.29,21.08,20.67,21.29,20.87,21.29
2020-01-17,23,14.39,12.09,11.79,12.40,13.32,13.97,13.70,14.39,14.25,14.39,14.25,13.97,14.39,14.11,14.39
2020-01-17,24,8.31,6.99,6.81,7.16,7.70,8.07,7.92,8.31,8.23,8.31,8.23,8.07,8.31,8.15,8.31
2020-01-18,1,5.56,4.67,4.55,4.79,5.14,5.39,5.29,5.56,5.50,5.56,5.50,5.39,5.56,5.45,5.56
2020-01-18,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-18,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-18,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-18,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-18,6,1.72,1.45,1.41,1.49,1.60,1.67,1.64,1.72,1.71,1.72,1.71,1.67,1.72,1.69,1.72
2020-01-18,7,12.42,10.44,10.18,10.71,11.50,12.06,11.83,12.42,12.30,12.42,12.30,12.06,12.42,12.18,12.42
2020-01-18,8,1.00,0.84,0.82,0.86,0.93,0.97,0.96,1.00,0.99,1.00,0.99,0.97,1.00,0.98,1.00
2020-01-18,9,6.55,5.51,4.25,5.65,6.07,6.36,6.24,6.55,6.49,6.55,6.49,6.36,6.55,6.43,6.55
2020-01-18,10,16.47,13.86,6.65,14.20,15.25,15.99,15.69,16.47,16.31,16.47,16.31,15.99,16.47,16.14,16.47
2020-01-18,11,85.34,72.07,6.65,73.57,79.02,82.85,81.28,85.34,84.50,85.34,84.50,82.85,85.34,83.67,85.34
2020-01-18,12,20.37,17.18,6.65,17.56,18.86,19.78,19.40,20.37,20.17,20.37,20.17,19.78,20.37,19.97,20.37
