Year,Month,Day,Hour,Temperature,Dew Point,Relative Humidity,Wind Speed,Toronto,Scored Labels
2016,8,14,21,1.265134301,1.220157926,-0.289365275,-0.061182582,0.743674948,0.613749027
2013,8,21,10,1.662960146,1.481205525,-0.658835875,-0.169324948,2.397419311,2.008465767
2020,1,23,18,-0.653270329,-0.420712697,0.757468091,-1.034463878,1.021939718,0.67285347
2016,11,30,8,-0.096314146,0.362430101,1.557987724,-0.818179146,0.249532171,-0.320797443
2013,2,17,7,-2.226892561,-2.014967677,0.819046525,0.587671615,-0.556544423,0.643060684
2015,4,4,11,-0.502980566,-0.961454152,-1.397777075,0.695813982,-0.401072647,0.162105083
2013,5,2,15,1.212090855,0.092059373,-2.383032008,0.263244517,0.452536718,0.266105652
2016,11,20,1,-0.768197796,-0.560559625,0.634311225,-0.277467314,-1.421046715,-1.259166241
2018,1,15,5,-1.519646614,-1.558134379,-0.227786842,0.912098714,-0.552583358,-0.264573574
2014,6,7,19,1.229772004,0.054766859,-2.506188874,-0.710036779,-0.094090161,0.272577763
2019,5,26,11,1.265134301,0.735355242,-1.459355508,0.803956348,-0.685279014,0.390045643
2016,9,12,5,0.336873996,0.520923286,0.449575925,-1.142606244,-0.784305622,-1.170182228
2013,11,23,17,-1.351675702,-1.651365664,-1.028306475,2.642376574,0.868448474,1.224789619
2018,2,21,13,-0.564864586,-0.374097054,0.572732791,1.777237644,0.644648339,0.406997204
2017,2,16,2,-1.342835127,-1.250471137,0.264840625,1.128383446,-0.775393228,-0.858486176
2014,7,6,19,1.433105213,0.791294013,-1.644090808,1.993522376,0.42183847,0.872537613
2016,12,7,9,-0.617908032,-0.691083424,-0.350943708,0.479529249,0.579290777,0.157136917
2015,12,15,3,0.01861332,0.157321273,0.326419058,0.912098714,-1.417085651,-1.567871094
2015,5,26,17,1.724844166,1.294742955,-1.213041775,0.046959784,1.928033186,1.956023216
2014,9,13,3,0.186584232,0.455661386,0.757468091,-0.385609681,-1.801308892,-1.581366539
2019,6,23,23,1.07948224,0.353106972,-1.828826108,-0.061182582,-0.944728728,-0.741425991
2016,1,31,1,-0.591386309,-0.346127668,0.757468091,-0.710036779,-1.130898752,-1.219567299
2014,6,29,8,1.380061767,1.667668096,0.695889658,-0.710036779,0.226756051,1.264499664
2013,8,25,22,1.203250281,1.45323614,0.572732791,-0.710036779,-0.072304307,0.364488602
2016,4,28,10,-0.105154721,-0.84957661,-1.951982974,0.479529249,0.226756051,-0.187562466
2015,6,25,2,0.849627307,0.912494684,0.018526892,-0.926321512,-1.175460726,-1.38596344
2014,7,16,23,0.584410077,0.735355242,0.326419058,-0.385609681,-0.900166754,-1.171784401
2016,12,23,2,-0.794719519,-0.672437167,0.326419058,-0.061182582,-0.952650857,-1.418096066
2015,1,24,12,-0.962690431,-0.672437167,1.003781825,0.046959784,0.627813816,0.899481297
2019,2,22,10,-0.768197796,-0.672437167,0.264840625,-0.601894413,0.630784614,0.333679199
